actividad_id,actividad_nombre,actividad_descripcion,actividad_tipo,infraestructura,latitud,longitud,permite_caravana,pernocta,actividad_para_grupos,maximo_personas,minimo_noches,maximo_noches,maximo_dias_antelacion,dias_disponible
1,Recorrido a pie por el sendero de El Pijaral (Parque Rural de Anaga),"Se trata de realizar un recorrido a pie por los senderos de la Reserva Natural Integral de El Pijaral. La realización completa de la ruta puede llevar entre tres y cuatro horas, y el grado de dificultad se puede considerar medio.",Senderismo,R.N.I. El Pijaral,,,False,False,False,5,0,0,16,"L,M,X,J,V,S,D"
2,Circulación por la red de pistas forestales de uso recreativo con determinados vehículos de motor,"Circulación por la red de pistas forestales de uso recreativo con vehículos de motor de las categorías siguientes: Motocicletas de trial, enduro o cross, o cualquier tipo de motocicleta equipada con neumáticos de trial, enduro o cross, Quads-atv y cuatriciclos con sistema de dirección mediante manillar, Vehículos todo terreno provistos de neumáticos cuya profundidad de surco sea superior a 10 mm e inferior a 15 mm.",Circulación con vehículo a motor,Pistas Forestales,,,False,False,False,1,0,0,15,"L,M,X,J,V,S,D"
3,Descenso del Barranco de Los Carrizales (Parque Rural de Teno)  en la Zona de Uso Moderado,"Realización de “rappel”, descenso o  escalada en la Zona de Uso Moderado del Barranco de Los Carrizales (Parque Rural de Teno).",Descenso de Barrancos,Barranco de Los Carrizales,,,False,False,False,15,0,0,30,"L,M,X,J,V,S,D"
4,Escalada en el Risco de Guaria (Monumento Natural de  Montaña de Tejina),Realización de escalada en el Risco de Guaria (Monumento Natural de Montaña de Tejina).,Escalada deportiva,Risco de Guaria (Monumento Natural de Montaña de Tejina),,,False,False,True,5,0,0,30,"L,M,X,J,V,S,D"
5,Escalada y rappel en la zona de El Roquito (Monumento Natural del Roque de Jama),Realización de escalada en la zona de El Roquito (Monumento Natural del Roque de Jama).,Escalada deportiva,Zona de El Roquito (Monumento Natural del Roque de Jama),,,False,False,False,10,0,0,90,"L,M,X,J,V,S,D"
7,Recorrido a pie de sendero en la Zona de Exclusión de Monte de Aguirre (Parque Rural de Anaga),"Se trata de realizar un recorrido a pie por el sendero existente en la Zona de Exclusión de Monte de Aguirre (Parque Rural de Anaga),  desde La Asomada a Cruz de Afur, o viceversa. La realización completa de la ruta puede llevar una hora,  y el grado de dificultad se puede considerar medio.",Senderismo,Zona de Exclusión de Monte de Aguirre (Parque Rural de Anaga),,,False,False,False,5,0,0,15,"L,M,X,J,V,S,D"
8,Estancia y pernocta en zona de acampada de Arenas Negras,Estancia y pernocta en zona de acampada de Arenas Negras,Acampada,Zona de Acampada Arenas Negras,28.33223342895508,-16.758243560791016,True,True,False,5,1,7,15,"L,M,X,J,V,S,D"
9,Estancia y pernocta en zona de acampada de Chío,Estancia y pernocta en zona de acampada de Chío,Acampada,Zona de Acampada de Chío,28.266149520874023,-16.74624252319336,False,True,False,5,1,7,15,"L,M,X,J,V,S,D"
10,Estancia y pernocta en zona de acampada El Lagar,Estancia y pernocta en zona de acampada El Lagar,Acampada,Zona de Acampada de El Lagar,28.341562271118164,-16.653242111206055,True,True,False,5,1,7,15,"L,M,X,J,V,S,D"
11,Estancia y pernocta en zona de acampada Las Lajas,Estancia y pernocta en zona de acampada Las Lajas,Acampada,Zona de Acampada Las Lajas,28.19034576416016,-16.66556739807129,True,True,False,5,1,7,15,"L,M,X,J,V,S,D"
12,Estancia y pernocta en zona de acampada de San José de los Llanos,Estancia y pernocta en zona de acampada de San José de los Llanos,Acampada,Zona de Acampada San José de los Llanos,28.32798767089844,-16.783754348754883,False,True,False,5,1,7,15,"L,M,X,J,V,S,D"
