actividad_tipo,nombre,tipo_via_codigo,tipo_via_descripcion,direccion_nombre_via,direccion_numero,direccion_codigo_postal,municipio_codigo,municipio_nombre,referencia,web,email,telefono,fax,longitud,latitud,fecha_creacion,fecha_actualizacion
asociacion servicios sociales,AACV Amigos Canarios Venezolanos Forjadores de Libertades,Cl,Calle,San Vicente,31,38108.0,38023,La Laguna,Piso 3,,aacvforjadoreslibertades@gmail.com,601427333.0,,-16.29812482,28.45512228,2023-10-04T08:58:20.705000,2023-10-04T08:58:20.705000
asociacion servicios sociales,Accion comunitaria para la salud en San Isidro,Cl,Calle,La Hoyita,24,38611.0,38017,Granadilla de Abona,,,farmacia@lacomunitaria.es,922391217.0,,-16.55614369,28.07819383,2023-10-05T12:40:51.986000,2023-10-05T12:40:51.986000
asociacion servicios sociales,Accion Poetica - Llueve Poesia en El Sauzal,Cl,Calle,Constitucion,3,38360.0,38041,El Sauzal,,,cultura@elsauzal.es,922570000.0,,-16.436592,28.47885126,2023-10-05T12:11:06.696000,2023-10-05T12:11:06.696000
asociacion cultural,Acciones de apoyo al Pueblo Saharaui,Cl,Calle,La Herreria,63,38350.0,38043,Tacoronte,,,tacoronteparticipaplataforma@gmail.com,639903212.0,,-16.41673442,28.48829906,2023-10-06T09:50:23.127000,2023-10-06T09:50:23.127000
asociacion cultural,ACNUR Loco Festival,Cl,Calle,Aniceto de Leon Alvarado,s/n,38312.0,38026,La Orotava,,,38003719@gobiernodecanarias.org,922332775.0,,-16.53505189,28.38221848,2023-10-05T13:38:58.660000,2023-10-05T13:38:58.660000
asociacion ciudadana,Acote,CL,Calle,Puerto Escondido,4,38002.0,38038,Santa Cruz de Tenerife,CC Parque Boulevard Pl 1 Lc 27,,tenerifeacote@hotmail.com,922280775.0,,-16.25161789,28.47086855,2016-05-09T12:45:15.374000,2016-07-11T08:49:21.929000
asociacion cultural,Actividad cultural migrantes venezolanos,Cl,Calle,Francisco Garcia Miramar,s/n,38009.0,38038,Santa Cruz de Tenerife,,,aacvforjadoreslibertades@gmail.com,601427333.0,,-16.27745365,28.45455343,2023-10-06T09:31:29.923000,2023-10-06T09:31:29.923000
asociacion ciudadana,Acufade,Cl,Calle,Perez Diaz,56,38380.0,38051,La Victoria,,www.acufade.org,info@acufade.org,922577668.0,,-16.46906604,28.43480435,2024-09-27T09:33:22.074000,2024-09-27T09:33:22.074000
asociacion servicios sociales,Acufade,Cl,Calle,Poeta Aristides Hernandez Mora,18,38500.0,38020,Güimar,Guimar Bajo,www.acufade.org,,922577668.0,,-16.40583932,28.31879275,2024-09-27T09:33:22.074000,2024-11-11T12:57:34.864000
asociacion servicios sociales,AEGEE Tenerife,AV,Avenida,Leonardo Torriani,12,38205.0,38023,La Laguna,La Milagrosa,,aegeetenerife@gmail.com,680535452.0,,-16.31381723,28.48287859,2016-05-09T12:45:15,2018-01-15T12:48:23
asociacion comercial empresarial,AEI Cluster Ricam,AV,Avenida,Asuncion,10,38006.0,38038,Santa Cruz de Tenerife,1º,,,,,-16.26185317,28.46715187,2018-03-21T12:17:19.634000,2018-12-13T14:00:36.097000
asociacion cultural,Africasmus,Av,Avenida,Mar Adriatico,0,38612.0,38017,Granadilla de Abona,El Medano,,pablofernandez@ieselmedano.org,922179383.0,,-16.53560026,28.0521394,2023-10-05T12:45:59.873000,2023-10-05T12:45:59.873000
asociacion servicios sociales,Afrikan Queen ONG,Cl,Calle,Ernesto Anastasio,5,38009.0,38038,Santa Cruz de Tenerife,,,afrikanqueen_ayuda@yahoo.com,688301836.0,,-16.27753718,28.45431383,2023-10-04T09:28:14.167000,2023-10-04T09:28:14.167000
asociacion cultural,Agrupacion Coral Santa Ursula,CL,Calle,Cuatro Caminos,13,38398.0,38039,Santa Úrsula,,,,,,-16.48383311,28.42494705,2016-05-09T12:45:15,2018-02-05T09:19:43
asociacion servicios sociales,Agrupacion Cultural De Sordos De Tenerife,CL,Calle,Simon Bolivar,14,38007.0,38038,Santa Cruz de Tenerife,,,,922200559.0,922200559.0,-16.27068064,28.4638565,2017-06-14T13:11:40.440000,2017-06-14T13:11:40.440000
asociacion ciudadana,Agrupacion De Funcionamiento De Emergencia Y Asistencia FEMA,CL,Calle,Imada,32,38110.0,38038,Santa Cruz de Tenerife,Las Moraditas de Taco,,,647886330.0,922615415.0,-16.28882666,28.44526725,2017-03-15T09:02:29,2018-03-22T09:18:11.956000
asociacion ciudadana,Agrupacion De Voluntarios De Proteccion Civil De Santa Cruz TF,AV,Avenida,Benito Perez Armas,20,38007.0,38038,Santa Cruz de Tenerife,Ed La Granja,www.proteccioncivilsantacruztfe.com,,922236840.0,922606332.0,-16.26844286,28.46395031,2016-06-28T13:55:03,2018-03-21T13:43:50.450000
asociacion comercial empresarial,Agrupacion Empresarial Innovadora del Sector Vitivinicola de Canarias INVINOCAN,CL,Calle,Perez Galdos,3,38002.0,38038,Santa Cruz de Tenerife,1ª planta,,,,,-16.25129316,28.46771696,2018-03-21T10:10:32.762000,2018-03-21T10:10:32.762000
asociacion comercial empresarial,Agrupacion Empresarial Islas Canarias AEIC,CL,Calle,San Juan de la Rambla,5,38205.0,38023,La Laguna,Ed Avenida Lc 7,,,922644292.0,,-16.29733608,28.47837666,2018-03-21T09:37:33.297000,2018-05-29T10:34:33.248000
asociacion cultural,Agrupacion Folclorica Alcalahuade,CL,Calle,Anatael Cabrera,4,38320.0,38023,La Laguna,La Cuesta,,,922655681.0,,-16.29090919,28.46712748,2018-04-02T10:21:58.730000,2018-04-02T10:21:58.730000
asociacion cultural,Agrupacion Folklorica Tamarayadre,CL,Calle,Las Tosqueras,68,38390.0,38039,Santa Úrsula,,,,,,-16.48092282,28.4195361,2018-02-09T12:26:43.363000,2018-02-09T12:26:43.363000
asociacion cultural,Agrupacion Teatral La Osadia,CL,Calle,Sabina,5,38390.0,38039,Santa Úrsula,Ap 2,,,,,-16.49854033,28.42186192,2016-05-09T12:45:15,2015-08-04T13:34:28
asociacion ciudadana,Ajedrez El Sauzal,Av,Avenida,Inmaculada Concepcion,5,38360.0,38041,El Sauzal,El Sauzal P1,,,,,-16.43645825,28.47954411,2024-09-27T09:33:22.074000,2024-09-27T09:33:22.074000
asociacion servicios sociales,Aldeas Infantiles SOS España,CL,Calle,Escultor Estevez,12,38203.0,38023,La Laguna,,www.aldeasinfantiles.es,iazkune@aldeasinfantiles.es,922315931.0,922260977.0,-16.32212685,28.48795697,2017-09-27T14:35:48.647000,2018-03-08T14:34:43.127000
