actividad_tipo,nombre,tipo_via_codigo,tipo_via_descripcion,direccion_nombre_via,direccion_numero,direccion_codigo_postal,municipio_codigo,municipio_nombre,referencia,web,email,telefono,fax,longitud,latitud,fecha_creacion,fecha_actualizacion
alimentacion panaderia pasteleria,¡A Comer! Dulceria panaderia,Cl,Calle,Mercado,2,38360,38041,El Sauzal,El Sauzal Mercado Municipal P0,,acomer.elsauzal@gmail.com,609256899.0,,-16.43346238,28.48011164,2016-05-09T12:45:15.374000,2024-09-27T09:52:23.664000
alimentacion panaderia pasteleria,100 X 100 Pan,CL,Calle,La Barca,13,38687,38019,Guía de Isora,Playa San Juan local 2,www.100x100panypasteleria.com,panypasteleria@live.com,922138360.0,,-16.81475827,28.18168554,2016-05-09T12:45:15.374000,2016-06-16T09:21:53.322000
alimentacion congelados,5 Oceanos,AV,Avenida,Las Palmeras,41,38205,38023,La Laguna,Finca España EdificioAna,www.5oceanos.com,,922660041.0,,-16.29918091,28.47424782,2021-06-08T10:09:02.163000,2021-06-08T10:09:02.163000
alimentacion congelados,5 Oceanos,CL,Calle,Fundadores Cooperativa,19,38639,38035,San Miguel,Z I Llano Del Camello,www.5-oceanos.com,,922703704.0,,-16.61338777,28.05535925,2017-02-15T11:40:07.893000,2017-02-16T13:51:26.067000
alimentacion congelados,5 Oceanos,Cr,Carretera,General TF 152 Norte,84,38360,38041,El Sauzal,,www.5oceanos.com,,922570127.0,,-16.42467363,28.47337644,2024-09-27T09:33:22.074000,2024-09-27T09:33:22.074000
alimentacion congelados,5 Oceanos,CL,Calle,San Juan,44,38202,38023,La Laguna,,www.5oceanos.com,,922257628.0,,-16.31779561,28.48680908,2021-06-08T10:09:02.163000,2021-06-08T10:09:02.163000
alimentacion congelados,5 Oceanos,Cl,Calle,Francisco Miranda,2,38430,38022,Icod de los Vinos,,www.5oceanos.com,,922894224.0,,-16.7196934,28.36888674,2024-09-27T09:33:22.074000,2024-09-27T09:33:22.074000
alimentacion,5sensi,CL,Calle,Ascanio y Nieves,1,38201,38023,La Laguna,,,5sensigourmet@gmail.com,650975859.0,,-16.3187574,28.49020543,2021-06-08T10:09:02.163000,2021-06-08T10:09:02.163000
alimentacion productos especializados herbolario,A Frio,CL,Calle,Alfonso Trujillo,4,38300,38026,La Orotava,Ed Temait,,,922322762.0,,-16.519441,28.39360299,2016-05-09T12:45:15.374000,2017-10-31T14:29:01.394000
alimentacion,Abaceria Viveres,CL,Calle,Herradores,47,38201,38023,La Laguna,,,,,,-16.316907,28.48805299,2016-05-09T12:45:15.374000,2015-08-04T13:57:37.255000
alimentacion,Abades,CL,Calle,10 de Agosto,28,38588,38005,Arico,Abades Ur Los Abriguitos Lc 01 Plaza,,,,,-16.4396985,28.1430959,2016-05-09T12:45:15.374000,2016-08-25T12:09:46.327000
alimentacion frutas verduras,Abrepuño Frutas y Verduras,CL,Calle,Altamira,23,38107,38038,Santa Cruz de Tenerife,La Gallega,,fruterialagallega@gmail.com,922629522.0,,-16.32052477,28.43011958,2016-05-09T12:45:15,2017-10-23T10:35:03.764000
alimentacion,Aceitunera Canaria,AV,Avenida,San Sebastian,51,38003,38038,Santa Cruz de Tenerife,Mercado Nuestra Señora de Africa Lc P Baja 22,,,,,-16.25243254,28.46298796,2016-05-09T12:45:15,2018-01-30T14:40:13
alimentacion congelados,Afrio Congelados,CR,Carretera,General TF 312 Puerto Cruz Las Arenas,75,38400,38028,Puerto de la Cruz,La Asomada,,,,,-16.54898716,28.40331498,2016-11-24T11:58:15.544000,2016-11-24T11:58:15.544000
alimentacion frutas verduras,Afrutado Gourmet,CL,Calle,Robayna,3,38003,38038,Santa Cruz de Tenerife,,,afrutadogourmet@gmail.com,655046061.0,,-16.25471971,28.46795009,2016-05-09T12:45:15.374000,2018-01-17T13:37:35.175000
alimentacion frutas verduras,Agricultor,Cl,Calle,Media Cuesta,1,38417,38031,Los Realejos,A El Toscal Longuera Loc1,fruteriaagicultor.negocio.site,fruteriaagricultor3@gmail.com,822144436.0,,-16.5726875,28.40117666,2023-10-18T12:08:17.876000,2023-10-18T12:08:17.876000
alimentacion pescaderia,Ahumaroma,AV,Avenida,San Sebastian,51,38003,38038,Santa Cruz de Tenerife,Mercado Nuestra Señora de Africa Lc Pescaderia 02,,,,,-16.25164092,28.46279033,2016-05-09T12:45:15,2018-01-22T14:05:18
alimentacion,Alimentacion Marina,CR,Carretera,General TF 154 Portezuelo Las Toscas,120,38292,38046,Tegueste,El Portezuelo,,,,,-16.36201704,28.51834506,2016-05-09T12:45:15.374000,2016-05-24T09:03:38.333000
alimentacion productos especializados herbolario,Alimenzano,AV,Avenida,San Sebastian,51,38003,38038,Santa Cruz de Tenerife,Mercado Nuestra Señora de Africa Lc Naciente 02,,,922210613.0,,-16.25171566,28.4628905,2016-05-09T12:45:15,2018-01-22T13:12:19
alimentacion productos especializados herbolario,Alimenzano,AV,Avenida,San Sebastian,51,38003,38038,Santa Cruz de Tenerife,Mercado Nuestra Señora de Africa Lc Naciente 03,,,922210613.0,,-16.25172031,28.46283941,2016-05-09T12:45:15,2018-01-22T13:12:19
alimentacion supermercados,Almacen de Gus,Cl,Calle,Real La Cruz Santa,88,38413,38031,Los Realejos,,almacendegus.com,,641255218.0,,-16.56492587,28.37724408,2023-10-18T12:08:17.876000,2023-10-18T12:08:17.876000
alimentacion productos especializados herbolario,Áloe Vera from the Canary Island,CL,Calle,Cupido,10,38400,38028,Puerto de la Cruz,Ed Jamel III,,,628829238.0,,-16.55134853,28.41478566,2022-04-22T12:09:52.592000,2022-04-22T12:09:52.592000
alimentacion charcuteria,Alpex Embutidos y Ahumados,CL,Calle,Francisco Feo Rodriguez,4,38639,38035,San Miguel,,,,602880931.0,0.0,-16.62353446,28.04935959,2016-05-09T12:45:15.374000,2016-04-27T09:40:07.193000
