evento_nombre,evento_url,evento_descripcion,evento_lugar,municipio_nombre,evento_organizador,evento_fecha_inicio,evento_fecha_fin
Cuarta Jornada de Frontenis de los XXXIX Juegos Cabildo,https://www.deportestenerife.es/evento/cuarta-jornada-de-frontenis-de-los-xxxix-juegos-cabildo/,"Cuarta jornada de Frontenis de los XXXIX Juegos Cabildo, en el Círculo de Amistad XII de Enero, en Barranco Hondo (Candelaria), con los encuentros correspondientes a las categorías infantil y cadete.",Círculo de Amistad XII de Enero,Candelaria,Cabildo de Tenerife,2026-01-08 17:00:00,2026-01-08 20:00:00
Decimocuarta Jornada de Voleibol de los XXXIX Juegos Cabildo,https://www.deportestenerife.es/evento/decimocuarta-jornada-de-voleibol-de-los-xxxix-juegos-cabildo/,"Decimocuarta jornada de Voleibol de los XXXIX Juegos Cabildo, que se disputará en diferentes pabellones de la Isla de forma simultánea.",Tenerife,,Cabildo de Tenerife,2026-01-10 09:00:00,2026-01-10 14:00:00
Cuarta Jornada de Frontenis de los XXXIX Juegos Cabildo,https://www.deportestenerife.es/evento/cuarta-jornada-de-frontenis-de-los-xxxix-juegos-cabildo-2/,"Continuación de la cuarta jornada de Frontenis de los XXXIX Juegos Cabildo, en los frontones del Círculo de Amistad XII de Enero, en Barranco Hondo (Candelaria) y el Real Club Náutico de Tenerife, en Santa Cruz de Tenerife.",Círculo de Amistad XII de Enero y Real Club Náutico de Tenerife,,Cabildo de Tenerife,2026-01-10 09:00:00,2026-01-10 20:00:00
Novena Jornada de Balonmano de los XXXIX Juegos Cabildo,https://www.deportestenerife.es/evento/novena-jornada-de-balonmano-de-los-xxxix-juegos-cabildo/,"Novena jornada de Balonmano de los XXXIX Juegos Cabildo que se disputa simultáneamente en diferentes pabellones de la Isla, con la participación de las categorías alevín, infantil y cadete.",Tenerife,,Cabildo de Tenerife,2026-01-10 09:00:00,2026-01-10 13:00:00
Decimoquinta Jornada de Voleibol de los XXXIX Juegos Cabildo,https://www.deportestenerife.es/evento/decimoquinta-jornada-de-voleibol-de-los-xxxix-juegos-cabildo/,"Decimoquinta jornada de Voleibol de los XXXIX Juegos Cabildo, que se disputará en diferentes pabellones de la Isla de forma simultánea.",Tenerife,,Cabildo de Tenerife,2026-01-17 09:00:00,2026-01-17 14:00:00
Primera Jornada de Waterpolo de los XXXIX Juegos Cabildo,https://www.deportestenerife.es/evento/primera-jornada-de-waterpolo-de-los-xxxix-juegos-cabildo/,Primera jornada de Waterpolo de los XXXIX Juegos Cabildo en la piscina del Centro de Deportes Acuáticos de Tenerife (CDAT) en Puerto de la Cruz.,Centro de Deportes Acuáticos de Tenerife,Puerto de la Cruz,Cabildo de Tenerife,2026-01-17 09:30:00,2026-01-17 13:00:00
Primera Jornada de Bola Canaria de los XXXIX Juegos Cabildo,https://www.deportestenerife.es/evento/primera-jornada-de-bola-canaria-de-los-xxxix-juegos-cabildo/,"Primera jornada de Bola Canaria de los XXXIX Juegos Cabildo en el campo de bochas del Centro Sociocultural de Los Baldíos, en San Cristóbal de La Laguna.",Centro Sociocultural Los Baldíos,La Laguna,Cabildo de Tenerife,2026-01-17 09:30:00,2026-01-17 13:00:00
Quinta Jornada de Lucha Canaria de los XXXIX Juegos Cabildo,https://www.deportestenerife.es/evento/quinta-jornada-de-lucha-canaria-de-los-xxxix-juegos-cabildo/,"Quinta jornada de Lucha Canaria de los XXXIX Juegos Cabildo, Zona Norte y Zona Sur, en diferentes terreros de la Isla.",Tenerife,,Cabildo de Tenerife,2026-01-17 10:00:00,2026-01-17 14:00:00
Tenerife Urbano 2025 en la Universidad de La Laguna,https://www.deportestenerife.es/evento/tenerife-urbano-2025-en-la-universidad-de-la-laguna/,"Nueva fecha para el cuarto encuentro Tenerife Urbano de la edición 2025 en la Universidad de La Laguna. Una iniciativa del Área de Deportes del Cabildo Insular de Tenerife, en colaboración con los ayuntamientos de San Cristóbal de La Laguna, Santa Cruz de Tenerife, La Orotava y Arona, y la Universidad de La Laguna, que engloba diferentes disciplinas deportivas de ámbito urbano: skate, calistenia, parkour, bmx, danzas urbanas y basket 3X3.",Universidad de La Laguna,La Laguna,Cabildo de Tenerife,2026-01-23 17:00:00,2026-01-23 21:00:00
Decimosexta Jornada de Voleibol de los XXXIX Juegos Cabildo,https://www.deportestenerife.es/evento/decimosexta-jornada-de-voleibol-de-los-xxxix-juegos-cabildo/,"Decimosexta jornada de Voleibol de los XXXIX Juegos Cabildo, que se disputará en diferentes pabellones de la Isla de forma simultánea.",Tenerife,,Cabildo de Tenerife,2026-01-24 09:00:00,2026-01-24 14:00:00
Primera Jornada de Béisbol de los XXXIX Juegos Cabildo,https://www.deportestenerife.es/evento/primera-jornada-de-beisbol-de-los-xxxix-juegos-cabildo/,Primera jornada de Béisbol de los XXXIX Juegos Cabildo en el Campo Néstor Pérez Suárez de Puerto de la Cruz.,Campo Municipal de Béisbol Néstor Pérez Suárez,Puerto de la Cruz,Cabildo de Tenerife,2026-01-24 09:30:00,2026-01-24 12:30:00
Sexta Jornada de Lucha Canaria de los XXXIX Juegos Cabildo,https://www.deportestenerife.es/evento/sexta-jornada-de-lucha-canaria-de-los-xxxix-juegos-cabildo/,"Sexta jornada de Lucha Canaria de los XXXIX Juegos Cabildo, Zona Norte y Zona Sur, en diferentes terreros de la Isla.",Tenerife,,Cabildo de Tenerife,2026-01-24 10:00:00,2026-01-24 14:00:00
Primera Jornada de Orientación de los XXXIX Juegos Cabildo,https://www.deportestenerife.es/evento/primera-jornada-de-orientacion-xxxix-juegos-cabildo/,"<a href=""https://www.deportestenerife.es/wp-content/uploads/normativas/2526/normativa_orientacion_juegoscabildo_2025_2026.pdf"">Consultar la Normativa de Orientación 2025/2026</a>",Las Raíces,El Rosario,Cabildo de Tenerife,2026-01-24 10:00:00,2026-01-24 13:00:00
Tenerife Urbano 2025 en Arona,https://www.deportestenerife.es/evento/tenerife-urbano-2025-en-arona/,"Nueva fecha para el encuentro Tenerife Urbano de la edición 2025 en el sur de la Isla. Una iniciativa del Área de Deportes del Cabildo Insular de Tenerife, en colaboración con los ayuntamientos de San Cristóbal de La Laguna, Santa Cruz de Tenerife, La Orotava y Arona, y la Universidad de La Laguna, que engloba diferentes disciplinas deportivas de ámbito urbano: skate, calistenia, parkour, bmx, danzas urbanas y basket 3X3.",Plaza Paulino Suances,Arona,Cabildo de Tenerife,2026-01-24 17:00:00,2026-01-24 21:00:00
Segunda Jornada de Waterpolo de los XXXIX Juegos Cabildo,https://www.deportestenerife.es/evento/segunda-jornada-de-waterpolo-de-los-xxxix-juegos-cabildo/,Segunda jornada de Waterpolo de los XXXIX Juegos Cabildo en la piscina del Complejo Deportivo de Tenerife Santa Cruz-Ofra.,Complejo Deportivo Santa Cruz-Ofra,Santa Cruz de Tenerife,Cabildo de Tenerife,2026-01-25 09:30:00,2026-01-25 13:00:00
Decimoséptima Jornada de Voleibol de los XXXIX Juegos Cabildo,https://www.deportestenerife.es/evento/decimoseptima-jornada-de-voleibol-de-los-xxxix-juegos-cabildo/,"Decimoséptima jornada de Voleibol de los XXXIX Juegos Cabildo, que se disputará en diferentes pabellones de la Isla de forma simultánea.",Tenerife,,Cabildo de Tenerife,2026-01-31 09:00:00,2026-01-31 14:00:00
Jornada Lúdica de Taekwondo de los XXXIX Juegos Cabildo,https://www.deportestenerife.es/evento/jornada-ludica-de-taekwondo-de-los-xxxix-juegos-cabildo/,"Jornada lúdica de Taekwondo de los XXXIX Juegos Cabildo en el Pabellón Municipal de La Esperanza, en El Rosario.",Pabellón Municipal de La Esperanza,El Rosario,Cabildo de Tenerife,2026-01-31 09:00:00,2026-01-31 13:30:00
Tercera Jornada de Waterpolo de los XXXIX Juegos Cabildo,https://www.deportestenerife.es/evento/tercera-jornada-de-waterpolo-de-los-xxxix-juegos-cabildo/,Tercera jornada de Waterpolo de los XXXIX Juegos Cabildo en la piscina del Complejo Deportivo de Tenerife Santa Cruz-Ofra.,Complejo Deportivo Santa Cruz-Ofra,Santa Cruz de Tenerife,Cabildo de Tenerife,2026-01-31 09:30:00,2026-01-31 13:00:00
